"Data operacji","Data waluty","Typ transakcji","Kwota","Waluta","Saldo po transakcji","Opis transakcji","","","",""
"2026-06-15","2026-06-15","Płatność web - kod mobilny","-129.00","PLN","+21804.17","Tytuł: 00000094263460681  ","Numer telefonu: 4851939000","Lokalizacja: Adres: fabrykabodziakow.pl","'Operacja: 000000900000681","Numer referencyjny: 0000009000060681"
"2026-06-15","2026-06-15","Płatność web - kod mobilny","-98.90","PLN","+21933.17","Tytuł: 00000094263405400  ","Numer telefonu: 48519390000","Lokalizacja: Adres: www.pixbook.pl","'Operacja: 0000009400005400","Numer referencyjny: 0000009400000"
"2026-06-05","2026-06-05","Opłata za użytkowanie karty","-10.00","PLN","+22032.07","OPŁATA MIESIĘCZNA ZA KARTĘ 0000125** ****0000, 30.04-29.05","","","",""
"2026-06-08","2026-06-08","Przelew na telefon przychodz. zew.","+350.00","PLN","+22042.07","Rachunek nadawcy: 83 0000 0000 0000 0000 0000 0000","Nazwa nadawcy: MARCIN NOWAK","Tytuł: PRZELEW NA TELEFON 48519***547. ANT YWIRUS","",""
"2026-06-06","2026-06-06","Opłata za użytkowanie karty","-10.00","PLN","+21692.07","OPŁATA MIESIĘCZNA ZA KARTĘ 000025** ****0000, 30.03-29.04","","","",""
"2026-06-11","2026-06-11","Przelew na telefon przychodz. zew.","-100.00","PLN","+21702.07","Rachunek odbiorcy: 53 0000 0000 0000 0000 0000 0000","Nazwa odbiorcy: MAGDA NOWAK","Tytuł: PREZENT DLA KASI OD: 48519393547 DO: 485*****331","",""
"2026-06-05","2026-06-05","Opłata za użytkowanie karty","-10.00","PLN","+21802.07","OPŁATA MIESIĘCZNA ZA KARTĘ 000025** ****0000, 28.02-29.03","","","",""
